MEDIA_ID,MEDIA_NAME,CNT,TIME(2017/12/19 11:22:29.872),TIMETICK(f=2050785),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,
23,NewMedia2,106,1.71449,154055790389,0.76553,0.57616,1.48795,0.22655,5,1,0.73292,0.65212,1,-0.61667,0.09000,0,,0.24152,0.45435,23.80389,1.06003,1,0.49795,0.41725,25.17701,1.06774,1,0,0.00000,9,,
23,NewMedia2,131,2.11887,154056619676,0.26636,0.51814,1.82770,0.29117,6,1,0.27024,0.43749,1,-0.61667,0.09000,0,,0.22926,0.45272,23.02320,1.09806,1,0.48511,0.41295,24.42213,1.09806,1,0,0.00000,9,,
23,NewMedia2,144,2.32918,154057050983,0.52922,0.44906,2.13506,0.19412,7,1,0.73495,0.43921,1,-0.61667,0.09000,0,,0.24051,0.45347,23.25109,1.09035,1,0.49636,0.41258,23.85477,1.08263,1,0,0.00000,9,,
23,NewMedia2,187,3.02449,154058476929,0.71349,0.46963,2.39381,0.63068,8,1,0.67979,0.49790,1,-0.61667,0.09000,0,,0.23905,0.45363,24.67659,1.06793,1,0.49535,0.41282,25.18426,1.06793,1,0,0.00000,9,,
23,NewMedia2,187,3.02449,154058476929,0.71349,0.46963,2.39381,0.63068,8,1,0.67979,0.49790,1,-0.61667,0.09000,0,,0.23905,0.45363,24.67659,1.06793,1,0.49535,0.41282,25.18426,1.06793,1,0,0.00000,9,,
24,black,28,0.45297,154059438994,0.31962,0.47165,0.09709,0.35588,2,1,0.43223,0.44174,1,-0.61667,0.09000,0,,0.23091,0.44987,23.90418,1.11502,1,0.48674,0.40897,21.48447,1.11502,1,0,0.00000,9,,
24,black,32,0.51762,154059571582,0.41121,0.44021,0.46907,0.04855,3,1,0.42452,0.42003,1,-0.61667,0.09000,0,,0.23001,0.44928,24.16685,1.11654,1,0.48599,0.40760,21.94540,1.10882,1,0,0.00000,9,,
25,cross,24,0.38820,154060400868,0.44761,0.43228,0.00000,0.38820,1,1,0.48705,0.42631,1,-0.61667,0.09000,0,,0.23300,0.45162,26.19706,1.10675,1,0.48882,0.41054,26.74626,1.09035,1,0,0.00000,9,,
25,cross,32,0.51770,154060666473,0.49467,0.44342,0.40450,0.11320,2,1,0.48727,0.43434,1,-0.61667,0.09000,0,,0.23270,0.45103,26.48277,1.12349,1,0.48867,0.40986,26.95895,1.12349,1,0,0.00000,9,,
26,NewMedia2,16,0.25877,154061230014,0.47754,0.43094,0.00000,0.25877,1,1,0.33163,0.44284,1,-0.61667,0.09000,0,,0.22613,0.45231,25.20540,1.11502,1,0.48183,0.41060,27.46160,1.11502,1,0,0.00000,9,,
26,NewMedia2,31,0.50150,154061727786,0.32399,0.48181,0.32347,0.17802,2,1,0.30406,0.70267,0,-0.61667,0.09000,0,,0.22520,0.45514,19.02388,1.09807,0,0.48151,0.41318,20.16311,1.09807,0,31,0.00000,9,,
26,NewMedia2,60,0.97061,154062689838,0.31085,0.46987,0.71184,0.25877,3,1,0.33274,0.45250,1,-0.61667,0.09000,0,,0.22840,0.45356,24.13971,1.10998,1,0.48427,0.41052,25.27832,1.10998,1,0,0.00000,10,,
26,NewMedia2,88,1.42349,154063618593,0.70853,0.49465,1.03528,0.38821,4,1,0.67785,0.48930,1,-0.61667,0.09000,0,,0.23445,0.45446,23.62963,1.05985,1,0.49048,0.41146,23.54715,1.06756,1,0,0.00000,10,,
26,NewMedia2,104,1.68211,154064148967,0.73748,0.48541,1.43958,0.24254,5,1,0.79456,0.49410,1,-0.61667,0.09000,0,,0.22876,0.45356,23.45619,1.05967,1,0.48497,0.41182,24.13235,1.05967,1,0,0.00000,10,,
26,NewMedia2,127,2.05424,154064912145,0.76177,0.48366,1.69835,0.35590,6,1,0.67998,0.46777,1,-0.61667,0.09000,0,,0.23118,0.45102,24.17449,1.09223,1,0.48785,0.41210,24.67527,1.08452,1,0,0.00000,10,,
26,NewMedia2,147,2.37784,154065575763,0.71420,0.47247,2.07048,0.30736,7,1,0.79515,0.49240,1,-0.61667,0.09000,0,,0.23830,0.45401,24.21733,1.05967,1,0.49442,0.41400,25.13181,1.05967,1,0,0.00000,10,,
26,NewMedia2,169,2.73357,154066305278,0.77415,0.49201,2.39398,0.33958,8,1,0.43652,0.45166,1,-0.61667,0.09000,0,,0.22448,0.45593,24.42319,1.09035,1,0.48059,0.41230,22.23850,1.08263,1,0,0.00000,10,,
26,NewMedia2,186,3.00952,154066871198,0.29212,0.47628,2.79832,0.21120,9,1,0.27587,0.47262,1,-0.61667,0.09000,0,,0.22011,0.45611,24.64596,1.12349,1,0.47590,0.41250,26.10375,1.12349,1,0,0.00000,10,,
27,black,33,0.53294,154067997028,0.29731,0.45406,0.00000,0.53295,1,1,0.29532,0.48765,1,-0.61667,0.09000,0,,0.21696,0.45558,25.24031,1.08300,1,0.47332,0.41147,27.64681,1.08300,1,0,0.00000,10,,
28,cross,2,0.03229,154068096371,0.30332,0.45255,0.00000,0.03229,1,1,0.43705,0.44677,1,-0.61667,0.09000,0,,0.22141,0.45548,26.68571,1.09168,1,0.47742,0.41096,23.61747,1.10036,1,0,0.00000,10,,
28,cross,33,0.53378,154069124824,0.46374,0.45319,0.09702,0.43677,2,1,0.50138,0.44145,1,-0.61667,0.09000,0,,0.22595,0.45494,28.15701,1.09807,1,0.48221,0.41146,27.90225,1.09807,1,0,0.00000,10,,
28,cross,33,0.53378,154069124824,0.46374,0.45319,0.09702,0.43677,2,1,0.50138,0.44145,1,-0.61667,0.09000,0,,0.22595,0.45494,28.15701,1.09807,1,0.48221,0.41146,27.90225,1.09807,1,0,0.00000,10,,
29,NewMedia2,16,0.25891,154069688763,0.46073,0.45160,0.00000,0.25891,2,1,0.29113,0.50410,1,-0.61667,0.09000,0,,0.21791,0.45571,25.34290,1.08300,1,0.47425,0.41184,27.60628,1.08300,1,0,0.00000,10,,
29,NewMedia2,42,0.67929,154070550874,0.26016,0.48842,0.32353,0.35576,3,1,0.22397,0.48903,1,-0.61667,0.09000,0,,0.21592,0.45602,23.56094,1.09035,1,0.47207,0.41162,24.55264,1.09035,1,0,0.00000,10,,
29,NewMedia2,55,0.88963,154070982258,0.40103,0.46230,0.69547,0.19417,4,1,0.72754,0.44737,1,-0.61667,0.09000,0,,0.23206,0.45530,23.96510,1.09168,1,0.48762,0.41158,23.57365,1.10036,1,0,0.00000,10,,
29,NewMedia2,100,1.61765,154072475244,0.69868,0.47933,0.95441,0.66324,5,1,0.75637,0.51164,1,-0.61667,0.09000,0,,0.23232,0.45539,24.07847,1.05213,1,0.48831,0.41177,25.05335,1.05213,1,0,0.00000,10,,
29,NewMedia2,117,1.89238,154073038680,0.69934,0.49159,1.63370,0.25868,6,1,0.47236,0.40440,1,-0.61667,0.09000,0,,0.22198,0.45628,23.62131,1.09420,1,0.47703,0.41206,20.60397,1.10882,1,0,0.00000,10,,
29,NewMedia2,146,2.36156,154074000860,0.26636,0.47095,1.95724,0.40431,7,1,0.21190,0.46283,1,-0.61667,0.09000,0,,0.21570,0.45691,22.90093,1.13197,1,0.47141,0.41277,24.22772,1.13197,1,0,0.00000,10,,
29,NewMedia2,185,2.99240,154075294586,0.22268,0.48383,2.37775,0.61465,8,1,0.20035,0.47043,1,-0.61667,0.09000,0,,0.21559,0.45654,22.52495,1.06793,1,0.47166,0.41222,23.63583,1.06793,1,0,0.00000,10,,
30,black,25,0.40454,154076156995,0.22808,0.47143,0.00000,0.40454,1,1,0.57797,0.47757,1,-0.61667,0.09000,0,,0.22557,0.45526,23.42443,1.07528,1,0.48579,0.41323,7.70001,1.06756,1,0,0.00000,10,,
30,black,32,0.51770,154076389060,0.49698,0.42562,0.46945,0.04825,2,1,0.49217,0.39967,1,-0.61667,0.09000,0,,0.22693,0.45610,24.12389,1.12349,1,0.48298,0.41250,22.72569,1.12349,1,0,0.00000,10,,
31,cross,32,0.51764,154077483948,0.49372,0.42970,0.00000,0.51764,1,1,0.48562,0.39492,1,-0.61667,0.09000,0,,0.22640,0.45565,25.67053,1.12390,1,0.48222,0.41215,25.71930,1.13258,1,0,0.00000,10,,
32,NewMedia2,13,0.21016,154077948067,0.49609,0.43575,0.00000,0.21016,1,1,0.65165,0.44728,1,-0.61667,0.09000,0,,0.23135,0.45517,24.28706,1.12426,1,0.48728,0.41241,25.05800,1.11654,1,0,0.00000,10,,
32,NewMedia2,34,0.54977,154078644542,0.75132,0.49966,0.27495,0.27483,2,1,0.78954,0.53806,1,-0.61667,0.09000,0,,0.23586,0.45633,23.16297,1.03706,1,0.49174,0.41325,24.27631,1.03706,1,0,0.00000,10,,
32,NewMedia2,39,0.63083,154078810770,0.70906,0.50251,0.56613,0.06470,3,1,0.60496,0.46236,1,-0.61667,0.09000,0,,0.22990,0.45560,22.86403,1.05307,1,0.48620,0.41227,24.85785,1.06079,1,0,0.00000,10,,
32,NewMedia2,59,0.95418,154079473868,0.25645,0.43009,0.69542,0.25876,4,1,0.21475,0.46893,1,-0.61667,0.09000,0,,0.21489,0.45586,22.97900,1.07510,1,0.47091,0.41144,24.67584,1.06738,1,0,0.00000,10,,
32,NewMedia2,82,1.32614,154080236700,0.23726,0.48363,0.97058,0.35556,5,1,0.26285,0.49877,1,-0.61667,0.09000,0,,0.21751,0.45732,23.12140,1.08360,1,0.47335,0.41311,25.13797,1.10000,1,0,0.00000,10,,
32,NewMedia2,103,1.66585,154080933349,0.28240,0.49011,1.34235,0.32350,6,1,0.55122,0.45156,1,-0.61667,0.09000,0,,0.22522,0.45593,23.29391,1.08300,1,0.48115,0.41219,24.69876,1.08300,1,0,0.00000,10,,
32,NewMedia2,114,1.84372,154081298151,0.70275,0.49784,1.73051,0.11320,7,1,0.69794,0.52888,0,-0.61667,0.09000,0,,0.23051,0.45732,23.26883,1.09035,0,0.48663,0.41440,22.17947,1.09807,0,32,0.00000,10,,
32,NewMedia2,146,2.36136,154082359719,0.67963,0.48027,2.05411,0.30725,8,1,0.46090,0.44635,1,-0.61667,0.09000,0,,0.22458,0.45629,23.53040,1.09807,1,0.48038,0.41218,23.31088,1.09807,1,0,0.00000,11,,
32,NewMedia2,172,2.78191,154083222158,0.32360,0.46924,2.42615,0.35576,9,1,0.34025,0.62948,0,-0.61667,0.09000,0,,0.21860,0.45778,22.01547,1.09807,0,0.47446,0.41468,21.01546,1.09807,0,33,0.00000,11,,
33,black,25,0.40446,154084549212,0.29462,0.50563,0.00000,0.40446,2,1,0.42752,0.50162,1,-0.61667,0.09000,0,,0.21945,0.45728,25.63449,1.09111,1,0.47452,0.41133,22.86932,1.08339,1,0,0.00000,12,,
33,black,33,0.53381,154084814487,0.43262,0.49585,0.46898,0.06483,3,1,0.42024,0.47639,1,-0.61667,0.09000,0,,0.21952,0.45716,25.52757,1.11502,1,0.47511,0.41114,23.30935,1.11502,1,0,0.00000,12,,
34,cross,13,0.21034,154085278888,0.47034,0.48583,0.00000,0.21034,1,1,0.55609,0.47630,1,-0.61667,0.09000,0,,0.22199,0.45697,26.05494,1.09807,1,0.47806,0.41169,27.17499,1.09807,1,0,0.00000,12,,
34,cross,33,0.53377,154085942156,0.50495,0.47172,0.22659,0.30717,2,1,0.49790,0.46136,1,-0.61667,0.09000,0,,0.22169,0.45687,25.58365,1.10000,1,0.47768,0.41198,25.87222,1.08360,1,0,0.00000,12,,
35,NewMedia2,14,0.22649,154086439898,0.51231,0.46677,0.00000,0.22649,1,1,0.66880,0.42013,1,-0.61667,0.09000,0,,0.22728,0.45615,25.00600,1.10265,1,0.48266,0.41172,25.45748,1.10265,1,0,0.00000,12,,
35,NewMedia2,33,0.53372,154087069985,0.60665,0.44737,0.29111,0.24261,2,1,0.27973,0.39338,1,-0.61667,0.09000,0,,0.21360,0.45741,22.41835,1.12350,1,0.46872,0.41230,24.02986,1.11578,1,0,0.00000,12,,
35,NewMedia2,58,0.93806,154087899203,0.24897,0.45048,0.59845,0.33961,3,1,0.19876,0.47806,1,-0.61667,0.09000,0,,0.21052,0.45813,22.21824,1.06793,1,0.46584,0.41280,23.45879,1.06793,1,0,0.00000,12,,
35,NewMedia2,82,1.32634,154088695466,0.24058,0.47312,0.95413,0.37221,4,1,0.30523,0.47570,1,-0.61667,0.09000,0,,0.21492,0.45862,21.52808,1.05213,1,0.47020,0.41331,22.31831,1.05213,1,0,0.00000,12,,
35,NewMedia2,96,1.55266,154089159591,0.42760,0.44974,1.34239,0.21027,5,1,0.73844,0.46907,1,-0.61667,0.09000,0,,0.22899,0.45713,22.63312,1.05231,1,0.48342,0.41250,22.96643,1.04460,1,0,0.00000,12,,
35,NewMedia2,115,1.85999,154089789869,0.74841,0.51064,1.61748,0.24251,6,1,0.73729,0.64016,1,-0.61667,0.09000,0,,0.22564,0.46060,22.46000,1.06720,1,0.48036,0.41544,23.40783,1.06720,1,0,0.00000,12,,
35,NewMedia2,131,2.11877,154090320568,0.74975,0.54781,1.87616,0.24261,7,1,0.76394,0.49852,1,-0.61667,0.09000,0,,0.22839,0.45753,23.47844,1.06003,1,0.48345,0.41296,24.30293,1.05231,1,0,0.00000,12,,
35,NewMedia2,150,2.42607,154090950790,0.71470,0.49694,2.13490,0.29117,8,1,0.48137,0.51938,0,-0.61667,0.09000,0,,0.21795,0.45638,16.96410,1.06021,0,0.47401,0.41304,13.98104,1.06793,0,34,0.00000,12,,
35,NewMedia2,185,2.99228,154092111933,0.22408,0.46958,2.63643,0.35585,9,1,0.20598,0.47926,1,-0.61667,0.09000,0,,0.20871,0.45737,23.21930,1.09807,1,0.46445,0.41136,24.14426,1.09807,1,0,0.00000,13,,
36,black,9,0.14554,154092443444,0.23776,0.47022,0.00000,0.14554,1,1,0.31464,0.46558,1,-0.61667,0.09000,0,,0.21211,0.45786,22.77808,1.08394,1,0.46774,0.41203,23.64000,1.08394,1,0,0.00000,13,,
36,black,30,0.48538,154093140366,0.34501,0.45637,0.16179,0.32359,2,1,0.54923,0.42413,1,-0.61667,0.09000,0,,0.22089,0.45842,23.14917,1.12350,1,0.47589,0.41322,23.76266,1.12350,1,0,0.00000,13,,
37,cross,18,0.29134,154093836955,0.51454,0.43176,0.01619,0.27515,2,1,0.45689,0.43509,1,-0.61667,0.09000,0,,0.22025,0.45811,24.91043,1.12411,1,0.47524,0.41324,24.33511,1.13279,1,0,0.00000,13,,
37,cross,33,0.53387,154094334346,0.46471,0.44284,0.30748,0.22639,3,1,0.45497,0.45745,1,-0.61667,0.09000,0,,0.21886,0.45796,25.19350,1.06793,1,0.47417,0.41324,25.52176,1.07661,1,0,0.00000,13,,
38,NewMedia2,23,0.37241,154095131042,0.46048,0.44039,0.00000,0.37240,1,1,0.38244,0.70985,0,-0.61667,0.09000,0,,0.21593,0.46100,12.77702,1.06793,0,0.47116,0.41530,8.58340,1.06793,0,35,0.00000,13,,
38,NewMedia2,46,0.74403,154095893170,0.39840,0.44291,0.53374,0.21030,2,1,0.71633,0.49226,1,-0.61667,0.09000,0,,0.22521,0.45796,23.27742,1.03707,1,0.48001,0.41295,23.43576,1.03707,1,0,0.00000,14,,
